CAMPO;DESCRIZIONE CAMPO;CODICE;DESCRIZIONE CODICE
Relpar;Relazione di parentela;2;Marito / Moglie
Relpar;Relazione di parentela;3;Figlio / Figlia
Relpar;Relazione di parentela;4;Nipote (discendente)
Relpar;Relazione di parentela;5;Pronipote (discendente)
Relpar;Relazione di parentela;6;Padre / Madre
Relpar;Relazione di parentela;7;Nonno / Nonna
Relpar;Relazione di parentela;8;Bisnonno / Bisnonna
Relpar;Relazione di parentela;9;Fratello / Sorella
Relpar;Relazione di parentela;10;Nipote (collaterale)
Relpar;Relazione di parentela;11;Zio / Zia (Collaterale)
Relpar;Relazione di parentela;12;Cugino / Cugina
Relpar;Relazione di parentela;13;Altro Parente
Relpar;Relazione di parentela;14;Figliastro / Figliastra
Relpar;Relazione di parentela;15;Patrigno / Matrigna
Relpar;Relazione di parentela;16;Genero / Nuora
Relpar;Relazione di parentela;17;Suocero / Suocera
Relpar;Relazione di parentela;18;Cognato / Cognata
Relpar;Relazione di parentela;19;Fratellastro / Sorellastra
Relpar;Relazione di parentela;20;Nipote (Affine)
Relpar;Relazione di parentela;21;Zio / Zia (Affine)
Relpar;Relazione di parentela;22;Altro Affine
Relpar;Relazione di parentela;23;Convivente (con vincoli di adozione o affettivi)
Relpar;Relazione di parentela;24;Responsabile della convivenza non affettiva
Relpar;Relazione di parentela;25;Convivente in convivenza non affettiva
Relpar;Relazione di parentela;26;Tutore
Relpar;Relazione di parentela;28;Unito civilmente
Relpar;Relazione di parentela;80;Adottato
Relpar;Relazione di parentela;81;Nipote
Relpar;Relazione di parentela;99;Non definito/comunicato
Staciv;Stato civile;2;Coniugato/a
Staciv;Stato civile;3;Vedovo/a
Staciv;Stato civile;4;Divorziato/a
Staciv;Stato civile;9;Non classificabile/ignoto/n.c
Staciv;Stato civile;6;Unito civilmente
Staciv;Stato civile;7;Stato libero a seguito di decesso della parte unita civilmente
Staciv;Stato civile;8;Stato libero a seguito di scioglimento dell'unione
quartiere;Nome esteso del quartiere;0;Non applicabile
Nsez;Numero sezione di censimento ISTAT 2011;0;Numero progressivo da 1 a 1281
