Sezione;Elettori;Votanti; RIFORMISTI PER EMILIA-ROMAGNA FUTURA; CIVICI CON DE PASCALE PRESIDENTE; MOVIMENTO CINQUE STELLE; ALLEANZA VERDI E SINISTRA - COALIZIONI CIVICHE - POSSIBILE; PARTITO DEMOCRATICO - DE PASCALE PRESIDENTE; RETE CIVICA ELENA UGOLINI PRESIDENTE; FORZA ITALIA - BERLUSCONI - UGOLINI PRESIDENTE - NOI MODERATI; FRATELLI D'ITALIA - GIORGIA MELONI; LEGA SALVINI EMILIA-ROMAGNA - IL POPOLO DELLA FAMIGLIA; LEALTÀ COERENZA VERITÀ; EMILIA-ROMAGNA PER LA PACE, L'AMBIENTE E IL LAVORO;Schede Bianche;Schede Nulle;Schede Contestate
143;801;401;9;9;7;21;109;15;66;99;28;2;2;2;2;0;
144;782;399;12;12;8;21;149;14;54;65;15;2;8;0;3;1;
145;731;405;8;7;13;17;146;23;56;67;15;2;1;2;7;0;
146;635;319;4;20;13;27;104;7;37;66;13;1;2;1;3;0;
147;696;402;10;14;16;42;144;20;39;66;8;0;8;3;2;0;
148;754;364;8;6;9;34;100;14;41;89;18;1;6;6;7;0;
149;634;306;5;12;3;31;97;17;32;47;13;3;5;0;2;0;
150;656;302;7;12;16;15;107;13;37;49;9;0;7;2;0;0;
151;455;187;3;2;9;22;60;11;13;41;5;1;4;3;1;0;
152;857;287;11;6;4;24;89;11;39;77;8;3;0;0;2;0;
153;724;411;9;19;9;29;127;20;46;97;22;2;2;2;2;0;
154;729;379;7;8;5;32;107;11;35;66;14;1;3;1;1;0;
155;740;363;14;6;11;20;115;17;36;77;10;6;2;2;11;0;
156;774;406;6;18;21;30;158;14;34;73;16;1;2;2;2;0;
157;808;419;9;18;16;20;133;11;51;82;35;0;10;3;2;0;
158;974;445;14;14;22;27;136;18;45;96;22;0;5;2;6;0;
159;680;368;5;10;8;23;117;11;40;83;22;3;12;1;1;0;
160;651;306;10;11;10;30;119;5;36;33;9;2;11;1;2;0;
161;764;391;10;13;6;33;170;7;44;52;13;7;4;0;4;0;
162;760;340;8;19;9;29;121;9;27;62;18;1;3;1;4;0;
163;0;11;0;0;1;0;4;2;0;2;1;0;0;0;1;0;
164;749;405;10;11;13;22;177;13;46;69;7;1;3;4;3;0;
165;703;401;10;12;21;26;156;14;50;53;9;10;9;1;5;0;
166;803;385;9;7;12;22;97;12;50;85;19;4;9;3;5;0;
167;848;417;5;10;16;29;130;20;36;91;20;2;10;1;7;0;
168;860;452;9;5;17;26;126;12;46;110;37;2;7;1;9;0;
169;883;455;9;10;12;28;148;17;53;92;18;3;2;3;4;0;
170;569;216;4;6;18;11;97;5;15;26;3;1;6;3;5;0;
171;701;393;5;7;14;34;144;9;24;83;20;4;7;5;4;0;
172;709;296;6;9;12;29;98;3;35;49;23;4;6;1;2;1;
173;578;220;4;5;10;20;77;5;30;31;4;0;4;4;5;0;
174;723;343;4;10;15;19;100;10;50;61;15;8;11;1;6;0;
175;612;303;2;4;17;26;106;13;29;56;10;1;4;1;1;0;
176;676;364;6;11;10;34;123;11;23;59;6;0;12;0;7;0;
177;630;316;3;9;10;45;138;9;20;32;14;6;4;0;2;0;
178;750;276;7;4;7;34;135;3;16;38;8;1;3;0;6;0;
179;613;244;9;3;11;30;68;4;25;46;11;3;4;0;6;0;
180;691;317;5;8;21;33;106;8;32;50;16;7;4;1;8;0;
181;689;321;0;10;16;20;136;7;27;51;11;6;6;1;2;0;
182;835;433;6;12;13;37;156;12;43;80;19;1;14;3;4;0;
183;667;242;3;10;6;15;99;11;21;29;14;2;7;2;2;0;
184;714;375;8;10;13;28;121;13;39;64;17;4;8;1;5;0;
185;871;276;2;9;8;20;82;13;23;66;23;2;8;1;2;0;
186;902;431;4;11;19;30;129;19;48;85;29;5;5;1;11;0;
187;831;368;2;8;17;20;135;9;49;62;21;4;10;3;6;0;
188;955;434;4;7;22;26;173;13;42;86;13;3;10;1;4;0;
189;756;352;15;10;12;20;119;12;37;66;9;2;8;5;2;0;
190;719;386;8;13;5;17;143;12;36;82;22;1;5;1;2;0;
191;952;411;8;12;14;23;141;24;32;73;17;2;8;5;7;0;
192;758;353;9;9;22;11;133;12;35;64;14;2;10;2;3;0;
193;883;363;3;15;7;28;111;11;48;78;22;1;5;1;4;0;
194;699;284;3;8;11;15;96;10;43;48;12;1;4;1;5;0;
195;930;467;9;15;17;35;154;10;43;100;24;5;11;3;4;0;
196;647;234;4;4;16;9;79;13;17;56;7;1;4;2;4;0;
197;557;221;7;1;13;26;76;9;23;32;2;2;1;2;1;0;
198;893;481;12;10;14;9;127;24;73;127;22;3;3;2;5;0;
199;953;476;13;9;17;23;150;13;44;98;34;6;9;2;11;0;
200;958;420;3;18;7;14;111;22;58;82;39;5;14;1;9;0;
201;642;300;5;13;15;13;96;14;31;66;13;2;6;0;4;0;
202;779;302;4;7;18;27;83;7;42;53;16;4;8;1;6;0;
203;677;330;8;4;6;18;94;12;36;81;24;1;14;0;2;0;
204;863;417;4;12;12;24;151;15;44;87;20;2;6;3;4;0;
